id,texto,label
20,"Estoy recontra quemado por culpa de Costos y Presupuestos debido a que nadie en mi grupo ayuda y tengo que hacer todo solo, estoy al borde del colapso emocional.",1
21,"Las clases de hoy sobre Gestión de Proyectos porque deja tiempo suficiente para terminar las tareas programadas, todo bajo control por el momento.",0
22,"El ciclo va bastante relajado con Estadística Aplicada porque dicta de manera muy didáctica y responde dudas, es un gran aporte para la carrera.",0
23,"Ya no doy más con las entregas de Costos y Presupuestos debido a que acumula demasiada teoría pesada y monótona que no se entiende, una palteada total este ciclo académico.",1
24,"A veces se acumulan los laboratorios de Redes, pero el profesor suele dar prórrogas si se lo pedimos formalmente.",0
25,"Es imposible avanzar con tanta presión en Redes y Conectividad debido a que califica de forma recontra estricta e injusta a todos, no duermo nada y lloro de frustración.",1
26,"Tengo tres prácticas acumuladas esta semana de Metodologías Ágiles debido a que explica de forma confusa y encima grita si le preguntas algo, voy a colapsar si sigo así ps.",1
27,El examen final presencial fue programado para el día sábado a las siete de la noche en el campus secundario.,1
28,"Buenísima la clase de laboratorio en Cálculo Avanzado porque explica paso a paso todo el silabo sin correr, todo bajo control por el momento.",0
29,"Felizmente el profesor de Inteligencia Artificial porque maneja un nivel intermedio que permite aprender bien, todo bajo control por el momento.",0
30,"Es imposible avanzar con tanta presión en Sistemas Operativos debido a que nadie en mi grupo ayuda y tengo que hacer todo solo, no duermo nada y lloro de frustración.",1
31,"Tengo tres prácticas acumuladas esta semana de Estructuras de Datos debido a que nadie en mi grupo ayuda y tengo que hacer todo solo, qué roche jalarme por segunda vez esto.",1
32,"No hay mucha carga esta semana en Costos y Presupuestos porque hace que los temas difíciles parezcan súper sencillos, así da gusto estudiar de verdad.",0
33,"El ingeniero explica excelente los temas de Estadística Aplicada porque maneja un nivel intermedio que permite aprender bien, es un gran aporte para la carrera.",0
34,"Me gusta bastante la metodología de Sistemas Operativos porque dicta de manera muy didáctica y responde dudas, es un crack el profe nomás.",0
35,"El ciclo va bastante relajado con Introducción a la Computación porque organiza los grupos de forma equitativa para avanzar tranquilos, así que voy con confianza al examen.",0
36,"El ciclo va bastante relajado con Ingeniería de Software porque explica paso a paso todo el silabo sin correr, todo bajo control por el momento.",0
37,"Revisamos el marco conceptual del diseño de software orientándolo a la nube computing. Aplicar eso al prototipo actual validó nuestra propuesta de arquitectura tecnológica; hace meses parecía inviable, hoy es una realidad tangible.",0
38,Tenemos que coordinar una reunión de grupo un sábado por la tarde para cerrar el avance de Ingeniería de Software.,0
39,"Siento que me voy a jalar el curso de Álgebra Lineal debido a que nadie en mi grupo ayuda y tengo que hacer todo solo, mis patas ya abandonaron el curso por completo.",1
40,"Es imposible avanzar con tanta presión en Química General debido a que deja proyectos larguísimos de un día para otro sin avisar, ya me dio dolor de cabeza de tanto estresarme.",1
41,"Con un buen grupo todo sale bien en Base de Datos porque organiza los grupos de forma equitativa para avanzar tranquilos, es un crack el profe nomás.",0
42,Tengo que dejar de salir los fines de semana porque el avance del proyecto final me está demandando bastante.,1
43,"Mi salud está empeorando por culpa de las amanecidas en Programación Orientada a Objetos debido a que acumula demasiada teoría pesada y monótona que no se entiende, voy a colapsar si sigo así ps.",1
44,El ambiente en el grupo de trabajo está algo tenso porque un integrante no avanza sus diapositivas.,1
45,El examen final del curso de Base de Datos consta de cuatro preguntas de desarrollo y una de diseño lógico.,0
46,"Me gusta bastante la metodología de Gestión de Proyectos porque no se complica con calificaciones extremas ni sorpresas, recomiendo matricularse con él de todas maneras.",0
47,"Tengo tres prácticas acumuladas esta semana de Química General debido a que deja proyectos larguísimos de un día para otro sin avisar, una palteada total este ciclo académico.",1
48,Siento algo de presión por mantener el promedio ponderado alto y no perder los beneficios de la universidad.,1
49,"Me gusta bastante la metodología de Redes y Conectividad porque explica paso a paso todo el silabo sin correr, así que voy con confianza al examen.",0
50,"La carga de ejercicios semanales de física está un poquitín desproporcionada en comparación con las horas de clase disponibles, lo cual me obliga a restar tiempo dedicado al descanso familiar indispensable.",1
51,"Estoy recontra quemado por culpa de Redes y Conectividad debido a que deja proyectos larguísimos de un día para otro sin avisar, una palteada total este ciclo académico.",1
52,"Las clases de hoy sobre Arquitectura de Computadoras porque no se complica con calificaciones extremas ni sorpresas, recomiendo matricularse con él de todas maneras.",0
53,"Las clases de hoy sobre Diseño de Sistemas porque deja tiempo suficiente para terminar las tareas programadas, así da gusto estudiar de verdad.",0
54,"La profesora es un poquito estricta con la hora de ingreso al aula del laboratorio, pero tomando las precauciones del caso se llega temprano sin mayores inconvenientes a lo largo del ciclo.",0
55,"Las clases de hoy sobre Programación Orientada a Objetos porque deja tiempo suficiente para terminar las tareas programadas, así da gusto estudiar de verdad.",0
56,"Felizmente el profesor de Inteligencia Artificial porque hace que los temas difíciles parezcan súper sencillos, todo bajo control por el momento.",0
57,"Siento que me voy a jalar el curso de Programación Orientada a Objetos debido a que califica de forma recontra estricta e injusta a todos, no duermo nada y lloro de frustración.",1
58,"Siento que me voy a jalar el curso de Introducción a la Computación debido a que deja proyectos larguísimos de un día para otro sin avisar, voy a colapsar si sigo así ps.",1
59,"Estoy recontra quemado por culpa de Estadística Aplicada debido a que sus exámenes no tienen nada que ver con lo avanzado en clase, mis patas ya abandonaron el curso por completo.",1
60,"Por fin entendí la teoría compleja de Álgebra Lineal porque organiza los grupos de forma equitativa para avanzar tranquilos, así da gusto estudiar de verdad.",0
61,"Felizmente el profesor de Programación Orientada a Objetos porque maneja un nivel intermedio que permite aprender bien, es un gran aporte para la carrera.",0
62,"La sobrecarga de trabajos me está matando en Física II debido a que sus exámenes no tienen nada que ver con lo avanzado en clase, ¡esto es un infierno total!",1
63,"El ciclo va bastante relajado con Gestión de Proyectos porque deja tiempo suficiente para terminar las tareas programadas, así da gusto estudiar de verdad.",0
64,"La sobrecarga de trabajos me está matando en Investigación de Operaciones debido a que nos tiró un cague total en la última práctica calificada, ya me dio dolor de cabeza de tanto estresarme.",1
65,"El ingeniero explica excelente los temas de Investigación de Operaciones porque hace que los temas difíciles parezcan súper sencillos, así da gusto estudiar de verdad.",0
66,"La sobrecarga de trabajos me está matando en Costos y Presupuestos debido a que acumula demasiada teoría pesada y monótona que no se entiende, una palteada total este ciclo académico.",1
67,"Me siento un pelín desorientada con las nuevas pautas metodológicas que el docente incorporó de forma imprevista para la entrega final del portafolio, espero poder descifrar los requerimientos antes del cierre.",1
68,Me parece un gran acierto de la cátedra exigir que los informes de investigación sigan un formato editorial sumamente complejo y rígido que consume mucho más tiempo de edición que el desarrollo de la propia solución informática.,1
69,"Todo tranquilo en el curso de Programación Orientada a Objetos porque no se complica con calificaciones extremas ni sorpresas, así que voy con confianza al examen.",0
70,"Me siento frustrado y solo en el grupo de Ingeniería de Software debido a que deja proyectos larguísimos de un día para otro sin avisar, ya me dio dolor de cabeza de tanto estresarme.",1
71,"Las clases de hoy sobre Inteligencia Artificial porque deja tiempo suficiente para terminar las tareas programadas, es un gran aporte para la carrera.",0
72,"Tengo tres prácticas acumuladas esta semana de Base de Datos debido a que deja proyectos larguísimos de un día para otro sin avisar, voy a colapsar si sigo así ps.",1
73,"Me gusta bastante la metodología de Programación Orientada a Objetos porque explica paso a paso todo el silabo sin correr, así da gusto estudiar de verdad.",0
74,"Felizmente el profesor de Cálculo I porque no se complica con calificaciones extremas ni sorpresas, salí muy bien en la última práctica calificada.",0
75,"No hay mucha carga esta semana en Diseño de Sistemas porque no se complica con calificaciones extremas ni sorpresas, mis patas y yo aprobamos fijos.",0
76,"Me gusta bastante la metodología de Inteligencia Artificial porque deja tiempo suficiente para terminar las tareas programadas, salí muy bien en la última práctica calificada.",0
77,"Me gusta bastante la metodología de Redes y Conectividad porque explica con ejemplos reales de la industria peruana, todo bajo control por el momento.",0
78,"Me gusta bastante la metodología de Álgebra Lineal porque maneja un nivel intermedio que permite aprender bien, salí muy bien en la última práctica calificada.",0
79,"El ingeniero explica excelente los temas de Cálculo Avanzado porque explica paso a paso todo el silabo sin correr, salí muy bien en la última práctica calificada.",0
80,"El ciclo va bastante relajado con Ingeniería de Software porque organiza los grupos de forma equitativa para avanzar tranquilos, mis patas y yo aprobamos fijos.",0
81,"Por fin entendí la teoría compleja de Introducción a la Computación porque dicta de manera muy didáctica y responde dudas, mis patas y yo aprobamos fijos.",0
82,"Hay días de bastante estudio por los controles de lectura, pero luego viene una semana más tranquila.",0
83,"Es imposible avanzar con tanta presión en Diseño de Sistemas debido a que califica de forma recontra estricta e injusta a todos, voy a colapsar si sigo así ps.",1
84,"Todo tranquilo en el curso de Ingeniería de Software porque explica paso a paso todo el silabo sin correr, recomiendo matricularse con él de todas maneras.",0
85,"Me gusta bastante la metodología de Inteligencia Artificial porque no se complica con calificaciones extremas ni sorpresas, mis patas y yo aprobamos fijos.",0
86,"Me gusta bastante la metodología de Redes y Conectividad porque hace que los temas difíciles parezcan súper sencillos, es un gran aporte para la carrera.",0
87,"Siento que me voy a jalar el curso de Estadística Aplicada debido a que explica de forma confusa y encima grita si le preguntas algo, qué roche jalarme por segunda vez esto.",1
88,"Tengo una ansiedad terrible por el parcial de Cálculo I debido a que deja proyectos larguísimos de un día para otro sin avisar, estoy al borde del colapso emocional.",1
89,"La sobrecarga de trabajos me está matando en Base de Datos debido a que nos tiró un cague total en la última práctica calificada, mis patas ya abandonaron el curso por completo.",1
90,"Qué abuso total lo que hace el ingeniero en Estadística Aplicada debido a que nadie en mi grupo ayuda y tengo que hacer todo solo, no duermo nada y lloro de frustración.",1
91,"La plataforma institucional borró los avances del código fuente almacenados en la nube virtual. Con todo lo que costó estructurar esa arquitectura lógica, reconstruirla desde cero desmorona el optimismo del grupo.",1
92,"El laboratorio de física aplicada demanda bastante precisión con el uso de los instrumentos de medición digital, un poquito de paciencia y los resultados cuadran perfectamente con la teoría explicada.",0
93,"Por fin entendí la teoría compleja de Gestión de Proyectos porque organiza los grupos de forma equitativa para avanzar tranquilos, salí muy bien en la última práctica calificada.",0
94,"Me gusta bastante la metodología de Gestión de Proyectos porque explica con ejemplos reales de la industria peruana, todo bajo control por el momento.",0
95,"Me siento frustrado y solo en el grupo de Diseño de Sistemas debido a que nadie en mi grupo ayuda y tengo que hacer todo solo, qué roche jalarme por segunda vez esto.",1
96,"Mi salud está empeorando por culpa de las amanecidas en Introducción a la Computación debido a que sus exámenes no tienen nada que ver con lo avanzado en clase, voy a colapsar si sigo así ps.",1
97,"Me siento frustrado y solo en el grupo de Ingeniería de Software debido a que califica de forma recontra estricta e injusta a todos, no duermo nada y lloro de frustración.",1
98,"Me gusta bastante la metodología de Metodologías Ágiles porque explica con ejemplos reales de la industria peruana, recomiendo matricularse con él de todas maneras.",0
99,"No hay mucha carga esta semana en Cálculo I porque no se complica con calificaciones extremas ni sorpresas, es un gran aporte para la carrera.",0
100,"La sobrecarga de trabajos me está matando en Base de Datos debido a que califica de forma recontra estricta e injusta a todos, voy a colapsar si sigo así ps.",1
101,"Con un buen grupo todo sale bien en Metodologías Ágiles porque maneja un nivel intermedio que permite aprender bien, así da gusto estudiar de verdad.",0
102,"El trabajo de investigación grupal nos permitió profundizar en arquitecturas en la nube sumamente modernas, pero la total inacción de mis compañeros me obligó a asumir una carga laboral excesiva.",1
103,"Tengo tres prácticas acumuladas esta semana de Física II debido a que explica de forma confusa y encima grita si le preguntas algo, ya me dio dolor de cabeza de tanto estresarme.",1
104,"La sobrecarga de trabajos me está matando en Base de Datos debido a que nadie en mi grupo ayuda y tengo que hacer todo solo, voy a colapsar si sigo así ps.",1
105,"Qué abuso total lo que hace el ingeniero en Física II debido a que acumula demasiada teoría pesada y monótona que no se entiende, no duermo nada y lloro de frustración.",1
106,"Felizmente el profesor de Base de Datos porque explica con ejemplos reales de la industria peruana, es un gran aporte para la carrera.",0
107,La práctica calificada de mañana constará únicamente de dos preguntas de demostración teórica sumamente extensas y complejas.,1
108,"Todo tranquilo en el curso de Cálculo Avanzado porque deja tiempo suficiente para terminar las tareas programadas, así que voy con confianza al examen.",0
109,"Siento un poquito de cansancio por las mañanas debido al viaje en bus hacia el campus, pero nada que un café cargado antes de la clase teórica no pueda solucionar rápidamente.",0
110,"Tengo una ansiedad terrible por el parcial de Introducción a la Computación debido a que nadie en mi grupo ayuda y tengo que hacer todo solo, mis patas ya abandonaron el curso por completo.",1
111,"Siento que me voy a jalar el curso de Cálculo Avanzado debido a que deja proyectos larguísimos de un día para otro sin avisar, ya me dio dolor de cabeza de tanto estresarme.",1
112,"Felizmente el profesor de Inteligencia Artificial porque deja tiempo suficiente para terminar las tareas programadas, así da gusto estudiar de verdad.",0
113,"La preparación para la sustentación final me tiene un poquito distraído de mis actividades cotidianas, ocupando gran parte de mis pensamientos debido a la rigurosidad metodológica del jurado evaluador institucional.",1
114,"El ciclo va bastante relajado con Diseño de Sistemas porque explica paso a paso todo el silabo sin correr, es un crack el profe nomás.",0
115,"Tengo una ansiedad terrible por el parcial de Costos y Presupuestos debido a que nadie en mi grupo ayuda y tengo que hacer todo solo, voy a colapsar si sigo así ps.",1
116,"Estoy recontra quemado por culpa de Diseño de Sistemas debido a que acumula demasiada teoría pesada y monótona que no se entiende, mis patas ya abandonaron el curso por completo.",1
117,"Con un buen grupo todo sale bien en Sistemas Operativos porque explica paso a paso todo el silabo sin correr, recomiendo matricularse con él de todas maneras.",0
118,"No hay mucha carga esta semana en Gestión de Proyectos porque dicta de manera muy didáctica y responde dudas, es un crack el profe nomás.",0
119,"La sustentación frente al comité externo generaba bastante expectativa en toda la facultad de ingeniería, sin embargo la preparación recibida en el aula nos permitió responder con solvencia y seguridad.",0
120,"Buenísima la clase de laboratorio en Redes y Conectividad porque hace que los temas difíciles parezcan súper sencillos, así da gusto estudiar de verdad.",0
121,"Qué abuso total lo que hace el ingeniero en Programación Orientada a Objetos debido a que cambia los criterios de evaluación a última hora siempre, voy a colapsar si sigo así ps.",1
122,"Buenísima la clase de laboratorio en Cálculo Avanzado porque maneja un nivel intermedio que permite aprender bien, salí muy bien en la última práctica calificada.",0
123,"El ingeniero explica excelente los temas de Estructuras de Datos porque organiza los grupos de forma equitativa para avanzar tranquilos, recomiendo matricularse con él de todas maneras.",0
124,"Todo tranquilo en el curso de Costos y Presupuestos porque explica con ejemplos reales de la industria peruana, recomiendo matricularse con él de todas maneras.",0
125,"Las clases de hoy sobre Estructuras de Datos porque explica con ejemplos reales de la industria peruana, mis patas y yo aprobamos fijos.",0
126,"La cantidad de información requerida para el portafolio final parecía completamente inmanejable en un inicio, pero distribuyendo las lecturas diariamente el proceso avanzó con absoluta normalidad y fluidez.",0
127,"Tengo tres prácticas acumuladas esta semana de Sistemas Operativos debido a que acumula demasiada teoría pesada y monótona que no se entiende, mis patas ya abandonaron el curso por completo.",1
128,"Buenísima la clase de laboratorio en Ingeniería de Software porque no se complica con calificaciones extremas ni sorpresas, así da gusto estudiar de verdad.",0
129,"Estoy recontra quemado por culpa de Investigación de Operaciones debido a que califica de forma recontra estricta e injusta a todos, qué roche jalarme por segunda vez esto.",1
130,"Felizmente el profesor de Gestión de Proyectos porque hace que los temas difíciles parezcan súper sencillos, recomiendo matricularse con él de todas maneras.",0
131,"No hay mucha carga esta semana en Química General porque organiza los grupos de forma equitativa para avanzar tranquilos, salí muy bien en la última práctica calificada.",0
132,"Es imposible avanzar con tanta presión en Introducción a la Computación debido a que califica de forma recontra estricta e injusta a todos, no duermo nada y lloro de frustración.",1
133,Los requerimientos del proyecto final de software fueron cambiados completamente a una semana de la sustentación definitiva.,1
134,"No hay mucha carga esta semana en Base de Datos porque maneja un nivel intermedio que permite aprender bien, es un crack el profe nomás.",0
135,"Buenísima la clase de laboratorio en Investigación de Operaciones porque explica paso a paso todo el silabo sin correr, así da gusto estudiar de verdad.",0
136,"Todo tranquilo en el curso de Gestión de Proyectos porque maneja un nivel intermedio que permite aprender bien, así que voy con confianza al examen.",0
137,"Tengo una ansiedad terrible por el parcial de Cálculo Avanzado debido a que califica de forma recontra estricta e injusta a todos, no duermo nada y lloro de frustración.",1
138,"Mi salud está empeorando por culpa de las amanecidas en Cálculo I debido a que califica de forma recontra estricta e injusta a todos, ¡esto es un infierno total!",1
139,"No es un curso regalado de ninguna manera, demanda su tiempo pero se aprende bastante en las clases.",0
140,"Tengo tres prácticas acumuladas esta semana de Programación Orientada a Objetos debido a que deja proyectos larguísimos de un día para otro sin avisar, mis patas ya abandonaron el curso por completo.",1
141,"Todo tranquilo en el curso de Costos y Presupuestos porque maneja un nivel intermedio que permite aprender bien, salí muy bien en la última práctica calificada.",0
142,"Estoy recontra quemado por culpa de Inteligencia Artificial debido a que deja proyectos larguísimos de un día para otro sin avisar, estoy al borde del colapso emocional.",1
143,"La bibliografía recomendada para la monografía final contiene algunos textos en idioma inglés técnico, con un diccionario básico al costado la traducción de los conceptos principales se realiza de forma sencilla.",0
144,"El ingeniero explica excelente los temas de Gestión de Proyectos porque dicta de manera muy didáctica y responde dudas, todo bajo control por el momento.",0
145,"Felizmente el profesor de Base de Datos porque maneja un nivel intermedio que permite aprender bien, mis patas y yo aprobamos fijos.",0
146,"El ciclo va bastante relajado con Redes y Conectividad porque maneja un nivel intermedio que permite aprender bien, salí muy bien en la última práctica calificada.",0
147,"Es imposible avanzar con tanta presión en Química General debido a que acumula demasiada teoría pesada y monótona que no se entiende, no duermo nada y lloro de frustración.",1
148,"Las clases de hoy sobre Inteligencia Artificial porque maneja un nivel intermedio que permite aprender bien, recomiendo matricularse con él de todas maneras.",0
149,Se me está juntando un poco el cansancio por las continuas amanecidas de esta semana académica.,1
150,"Tengo tres prácticas acumuladas esta semana de Química General debido a que explica de forma confusa y encima grita si le preguntas algo, estoy al borde del colapso emocional.",1
151,"Mi salud está empeorando por culpa de las amanecidas en Base de Datos debido a que nos tiró un cague total en la última práctica calificada, mis patas ya abandonaron el curso por completo.",1
152,"La universidad organizó talleres excelentes orientados a la gestión eficaz de las responsabilidades académicas de fin de ciclo, irónicamente la asistencia a estos eventos consume las horas requeridas para estudiar.",1
153,"Las clases de hoy sobre Sistemas Operativos porque hace que los temas difíciles parezcan súper sencillos, es un crack el profe nomás.",0
154,"Todo tranquilo en el curso de Diseño de Sistemas porque explica con ejemplos reales de la industria peruana, mis patas y yo aprobamos fijos.",0
155,"Las clases de hoy sobre Ingeniería de Software porque no se complica con calificaciones extremas ni sorpresas, mis patas y yo aprobamos fijos.",0
156,"Con un buen grupo todo sale bien en Química General porque no se complica con calificaciones extremas ni sorpresas, salí muy bien en la última práctica calificada.",0
157,"El ciclo va bastante relajado con Arquitectura de Computadoras porque dicta de manera muy didáctica y responde dudas, así da gusto estudiar de verdad.",0
158,"El ingeniero explica excelente los temas de Metodologías Ágiles porque deja tiempo suficiente para terminar las tareas programadas, mis patas y yo aprobamos fijos.",0
159,"Las clases de hoy sobre Diseño de Sistemas porque organiza los grupos de forma equitativa para avanzar tranquilos, recomiendo matricularse con él de todas maneras.",0
160,"El examen parcial vino un poquitín complejo en la sección de desarrollo lógico, tampoco es para tanto si es que le dedicaste un par de horas al solucionario del año pasado.",0
161,"Estoy recontra quemado por culpa de Física II debido a que sus exámenes no tienen nada que ver con lo avanzado en clase, qué roche jalarme por segunda vez esto.",1
162,"El ciclo va bastante relajado con Química General porque organiza los grupos de forma equitativa para avanzar tranquilos, es un crack el profe nomás.",0
163,La universidad organizó una serie de conferencias sobre desarrollo de software a las que asistimos de manera virtual.,0
164,"No hay mucha carga esta semana en Estadística Aplicada porque explica con ejemplos reales de la industria peruana, salí muy bien en la última práctica calificada.",0
165,"Ya no doy más con las entregas de Investigación de Operaciones debido a que deja proyectos larguísimos de un día para otro sin avisar, qué roche jalarme por segunda vez esto.",1
166,El curso de Investigación de Operaciones abarca modelos lineales de optimización y simulación estocástica compleja aplicada.,0
167,"Buenísima la clase de laboratorio en Sistemas Operativos porque dicta de manera muy didáctica y responde dudas, así que voy con confianza al examen.",0
168,"Mi salud está empeorando por culpa de las amanecidas en Gestión de Proyectos debido a que deja proyectos larguísimos de un día para otro sin avisar, voy a colapsar si sigo así ps.",1
169,"Me gusta bastante la metodología de Investigación de Operaciones porque no se complica con calificaciones extremas ni sorpresas, así que voy con confianza al examen.",0
170,"Qué abuso total lo que hace el ingeniero en Cálculo Avanzado debido a que acumula demasiada teoría pesada y monótona que no se entiende, mis patas ya abandonaron el curso por completo.",1
171,"Tengo una ansiedad terrible por el parcial de Sistemas Operativos debido a que nos tiró un cague total en la última práctica calificada, no duermo nada y lloro de frustración.",1
172,"El ingeniero explica excelente los temas de Física II porque hace que los temas difíciles parezcan súper sencillos, es un crack el profe nomás.",0
173,"No hay mucha carga esta semana en Gestión de Proyectos porque no se complica con calificaciones extremas ni sorpresas, así da gusto estudiar de verdad.",0
174,"Buenísima la clase de laboratorio en Base de Datos porque maneja un nivel intermedio que permite aprender bien, así da gusto estudiar de verdad.",0
175,"Ya no doy más con las entregas de Estructuras de Datos debido a que sus exámenes no tienen nada que ver con lo avanzado en clase, no duermo nada y lloro de frustración.",1
176,"El profesor avanza un poco rápido las diapositivas, por lo que toca revisar las grabaciones después de clases.",0
177,"Felizmente el profesor de Metodologías Ágiles porque hace que los temas difíciles parezcan súper sencillos, mis patas y yo aprobamos fijos.",0
178,"Siento que me voy a jalar el curso de Costos y Presupuestos debido a que nos tiró un cague total en la última práctica calificada, qué roche jalarme por segunda vez esto.",1
179,"Tengo tres prácticas acumuladas esta semana de Costos y Presupuestos debido a que califica de forma recontra estricta e injusta a todos, estoy al borde del colapso emocional.",1
180,"No hay mucha carga esta semana en Ingeniería de Software porque dicta de manera muy didáctica y responde dudas, salí muy bien en la última práctica calificada.",0
181,"Me siento frustrado y solo en el grupo de Diseño de Sistemas debido a que deja proyectos larguísimos de un día para otro sin avisar, no duermo nada y lloro de frustración.",1
182,Me quedé dormido en la clase de hoy debido al cansancio acumulado por estudiar la noche anterior.,1
183,"El ciclo va bastante relajado con Gestión de Proyectos porque explica con ejemplos reales de la industria peruana, todo bajo control por el momento.",0
184,"No hay mucha carga esta semana en Cálculo Avanzado porque maneja un nivel intermedio que permite aprender bien, así que voy con confianza al examen.",0
185,"Me gusta bastante la metodología de Costos y Presupuestos porque organiza los grupos de forma equitativa para avanzar tranquilos, recomiendo matricularse con él de todas maneras.",0
186,Pasé toda la noche repasando detalladamente los teoremas más complejos de la guía analítica; afortunadamente el examen resultó sumamente directo y pude resolverlo sin ningún inconveniente técnico.,0
187,"Las fechas de las prácticas calificadas se superpusieron con las entregas de los proyectos de diseño de software interactivo. Manejar aquello simultáneamente demanda una exigencia física desmedida; el mes anterior transcurrió pacíficamente, esta semana es un desborde total.",1
188,"Estoy recontra quemado por culpa de Ingeniería de Software debido a que nos tiró un cague total en la última práctica calificada, no duermo nada y lloro de frustración.",1
189,"Tengo tres prácticas acumuladas esta semana de Cálculo Avanzado debido a que nadie en mi grupo ayuda y tengo que hacer todo solo, no duermo nada y lloro de frustración.",1
190,"Tengo una ansiedad terrible por el parcial de Metodologías Ágiles debido a que explica de forma confusa y encima grita si le preguntas algo, qué roche jalarme por segunda vez esto.",1
191,"No hay mucha carga esta semana en Diseño de Sistemas porque organiza los grupos de forma equitativa para avanzar tranquilos, así que voy con confianza al examen.",0
192,"Me saqué una nota algo bajita en la primera práctica calificada de álgebra lineal, por suerte queda bastante camino por recorrer y las siguientes evaluaciones tienen un peso porcentual significativamente mayor.",0
193,"Me gusta bastante la metodología de Metodologías Ágiles porque dicta de manera muy didáctica y responde dudas, es un gran aporte para la carrera.",0
194,"El ciclo va bastante relajado con Base de Datos porque organiza los grupos de forma equitativa para avanzar tranquilos, así da gusto estudiar de verdad.",0
195,"Compré el manual completo de fórmulas estadísticas al iniciar el periodo académico. Consultar ese recurso constantemente me permitió entender la parte operativa de los laboratorios; antes dependía de explicaciones externas, hoy soy autónomo.",0
196,"Tampoco es que planee abandonar la asignatura por completo debido a la calificación obtenida, pero me causa cierto desánimo ver que el esfuerzo dedicado no se ve reflejado en el registro oficial.",1
197,"Tengo una ansiedad terrible por el parcial de Química General debido a que nos tiró un cague total en la última práctica calificada, estoy al borde del colapso emocional.",1
198,El laboratorio de Inteligencia Artificial requiere el uso de servidores externos que se caen constantemente por saturación.,1
199,"El ingeniero explica excelente los temas de Diseño de Sistemas porque hace que los temas difíciles parezcan súper sencillos, todo bajo control por el momento.",0
200,Hoy expusimos los resultados estadísticos del proyecto de investigación frente al jurado invitado en el auditorio principal.,0
201,"El temario desarrollado a lo largo del semestre resultó sumamente interesante para mi perfil enfocado en ciencia de datos, lamentablemente la forma en que se estructuraron las evaluaciones finales arruinó la experiencia.",1
202,"Los laboratorios guiados del curso de redes permiten practicar con equipos tecnológicos reales y modernos, pero la rigidez del sistema de calificación reduce significativamente el entusiasmo por experimentar nuevas soluciones.",1
203,Los grupos para el trabajo de investigación de fin de ciclo deben estar integrados por un máximo de cuatro personas.,0
204,"El ambiente físico del campus universitario es sumamente agradable y propicio para el estudio grupal diario, aunque la acumulación de evaluaciones continuas me impide disfrutar de los espacios comunes del establecimiento.",1
205,"Me gusta bastante la metodología de Costos y Presupuestos porque deja tiempo suficiente para terminar las tareas programadas, mis patas y yo aprobamos fijos.",0
